filename,deutsche_num,degree_entropy,intervallic_entropy,npvi,start_date,completion_date,wellness,NOTES (to be deleted)
A/Wr/RISM600251145-1-1-1.thm,257,2.20624,2.23892,22.8571,1815.08,1815.08,well,
D/ALTbethmannhollweg/RISM452512683-1-1-1.thm,257,1.65774,2.05881,23.3333,1815.08,1815.08,well,
D/B/RISM452509742-1-1-1.thm,258,2.63129,2.49808,40.6667,1815.08,1815.08,well,
D/B/RISM452509741-1-1-1.thm,259,2.37456,2.37456,27.5,1815.08,1815.08,well,
D/B/RISM452509607-1-1-1.thm,262,1.25163,1.95915,15.1515,1815.08,1815.08,well,
D/B/RISM452509607-1-1-2.thm,262,2.53064,2.18004,15.1961,1815.08,1815.08,well,
D/B/RISM452509606-1-1-1.thm,265,2.41592,2.68259,53.8095,1815.08,1815.08,well,
D/B/RISM452509606-1-1-2.thm,265,2.23593,2.52164,75.4113,1815.08,1815.08,well,
D/B/RISM452509728-1-1-1.thm,266,1.95021,2.4138,9.52381,1815.08,1815.08,well,
D/B/RISM452509728-1-1-2.thm,266,1.84644,2.44644,38.9189,1815.08,1815.08,well,
D/B/RISM452509732-1-1-2.thm,267,2.72193,1.68548,56.3137,1815.08,1815.08,well,
D/B/RISM452509673-1-1-1.thm,268,2.12193,2.52193,41.4815,1815.08,1815.08,well,
D/B/RISM452509605-1-1-1.thm,271,2.4183,2.52206,42.4242,1815.08,1815.08,well,
D/B/RISM452509581-1-1-1.thm,272,2.24644,2.44644,98.7654,1815.08,1815.08,well,
D/B/RISM452509581-1-1-2.thm,272,2.50274,2.29883,66.2709,1815.08,1815.08,well,
D/B/RISM452509604-1-1-1.thm,273,2.30689,2.60624,65.7143,1815.08,1815.08,well,
D/B/RISM452509582-1-1-1.thm,275,2.17095,2.92193,44.4444,1815.08,1815.08,well,
D/B/RISM452509729-1-1-2.thm,276,2.28778,2.35353,45.2381,1815.08,1815.08,well,
D/B/RISM452509696-1-1-1.thm,277,2.72548,1.75272,40,1815.08,1815.08,well,
D/B/RISM452509631-1-1-1.thm,284,1.75,2.5,35.2381,1815.09,1815.09,well,
D/B/RISM452509608-1-1-1.thm,288,2.25776,2.66123,49.899,1815.09,1815.09,well,
D/B/RISM452509609-1-1-1.thm,289,2.75343,1.98523,39.6337,1815.09,1815.09,well,
D/B/RISM452509609-1-1-2.thm,289,1.56128,1.75,32.4859,1815.09,1815.09,well,
D/B/RISM452509717-1-1-1.thm,287/2,2.23127,1.97175,100.286,1815.09,1815.09,well,
D/B/RISM452509717-1-1-2.thm,287/2,1.87996,2.41938,52.963,1815.09,1815.09,well,
D/B/RISM452509718-1-1-1.thm,289/2,2.75343,1.98523,54.5055,1815.09,1815.09,well,
D/B/RISM452509569-1-1-1.thm,296,1.90564,2.15564,76.4626,1815.09,1815.1,well,autumn
D/B/RISM452509569-1-1-2.thm,296,2.5,2,73.8095,1815.09,1815.1,well,autumn
D/B/RISM452509739-1-1-2.thm,298,2.19716,2.11328,34.9206,1815.01,1815.1,well,
D/B/RISM452509738-1-1-1.thm,302,2.46924,2.2125,52.8571,1815.01,1815.1,well,
D/B/RISM452509658-1-1-1.thm,303,2.72193,2.12193,29.6296,1815.01,1815.1,well,
D/B/RISM452509659-1-1-1.thm,304,2.48171,2.66353,44,1815.01,1815.1,well,
D/B/RISM452509745-1-1-1.thm,305,2.28778,2.19201,,1815.01,1815.1,well,
D/B/RISM452509745-1-1-2.thm,305,2.41938,2.28104,35.2593,1815.01,1815.1,well,
D/B/RISM452509746-1-1-1.thm,306,1.90564,2.40564,19.0476,1815.01,1815.1,well,
D/B/RISM452509747-1-1-1.thm,307,2.69478,2.24929,36.5608,1815.01,1815.1,well,
D/B/RISM452509748-1-1-1.thm,308,1.92193,2.44644,48.8889,1815.01,1815.1,well,
D/B/RISM452509719-1-1-1.thm,309,1.89106,2.41938,67.5,1815.01,1815.1,well,
D/B/RISM452509720-1-1-1.thm,313,1.95021,2.23593,56.6667,1815.01,1815.1,well,
D/B/RISM452509721-1-1-1.thm,314,2.22219,2.84535,75.3651,1815.01,1815.1,well,
D/B/RISM452509722-1-1-1.thm,315,2.4116,2.56545,43.3333,1815.01,1815.1,well,
D/B/RISM452509725-1-1-1.thm,318,2.15564,2.40564,61.9048,1815.01,1815.1,well,
D/B/RISM452509726-1-1-1.thm,319,2.3899,2.33957,35.5556,1815.01,1815.1,well,
D/B/RISM452509726-1-1-2.thm,319,2.52164,2.52164,74.7619,1815.01,1815.1,well,
D/B/RISM452509723-1-1-1.thm,316/1,1.56128,1.06128,67.619,1815.01,1815.1,well,
B/Bc/RISM702003065-1-1-1.thm,328,1.83659,2.41938,73.3333,1815.11,1815.11,well,LATE AUTUMN
D/ALTbethmannhollweg/RISM452512886-1-1-2.thm,328,2.50326,2.11328,43.2456,1815.11,1815.11,well,LATE AUTUMN
D/B/RISM452509587-1-1-1.thm,330,1.84237,1.84237,56.6667,1815.12,1815.12,well,
D/B/RISM452509686-1-1-1.thm,357,2.25163,2.25163,40,1816.01,1816,well,
D/B/RISM452509580-1-1-1.thm,359,2.08496,2.62581,21.8182,1816.01,1816,well,
D/B/RISM452509580-1-1-2.thm,359,1.79248,2.25163,82.5926,1816.01,1816,well,
A/SWp/RISM650013942-1-1-1.thm,343/1,2.11481,2.54453,53.8908,1816.01,1816,well,CIRCA
A/SWp/RISM650013942-1-1-3.thm,343/1,1.92193,1.92193,16.6667,1816.01,1816,well,
A/Wn/RISM600258556-1-1-1.thm,368,1.98777,2.16198,94.58,1816.01,1816.01,well,BEGINNING OF 1816
CZ/Bm/RISM553003470-1-1-1.thm,368,2,2.25,48.3333,1816.01,1816.01,well,BEGINNING OF 1816
CZ/Bm/RISM553003470-1-1-2.thm,368,1.45915,1.45915,98.8095,1816.01,1816.01,well,BEGINNING OF 1816
D/B/RISM452509585-1-1-1.thm,371,1.55666,1.84237,64.4444,1816.01,1816.01,well,
D/B/RISM452509588-1-1-1.thm,377,0.863121,1.14883,56.6667,1816.02,1816.02,well,
D/B/RISM452509705-1-1-1.thm,383,2.3004,1.97494,47.3084,1816.02,1816.02,well,
D/B/RISM452509705-1-1-2.thm,383,0.954434,1.29879,69.4279,1816.02,1816.02,well,
D/B/RISM452509735-1-1-1.thm,387,1.57095,2.32193,88.8183,1816.03,1816.03,well,
D/B/RISM452509735-1-1-2.thm,387,1.79248,2.05459,96.5787,1816.03,1816.03,well,
D/B/RISM452509716-1-1-1.thm,389,2.50274,2.06404,33.3333,1816.03,1816.03,well,
D/B/RISM452509643-1-1-1.thm,392,2.45915,2.4183,18.1818,1816.03,1816.03,well,
D/B/RISM452509650-1-1-1.thm,394,1.57095,2.24644,31.8519,1816.03,1816.03,well,
D/B/RISM452509575-1-1-1.thm,402,2.5,1.06128,36.1905,1816.03,1816.03,well,
